fed_key,fed_name,owner_date,cond_local
335457,Fiddlers Green Manor Rehabilitation and Nursing Center,,
335504,Seneca Health Care Center,,
335816,Canterbury Woods,,
335854,Fox Run at Orchard Park,,
335638,Buffalo Center for Rehabilitation and Nursing,,
335757,"Harris Hill Nursing Facility, LLC",,
335663,"Safire Rehabilitation of Southtowns, LLC",,
335843,Our Lady of Peace Nursing Care Residence,,
335419,St Catherine Laboure Health Care Center,,
335650,Terrace View Long Term Care Facility,,
335500,Odd Fellow & Rebekah Rehabilitation&Health Care Center Inc,,
335647,Williamsville Suburban LLC,,
335437,Ellicott Center for Rehabilitation and Nursing,,
335112,Brothers of Mercy Nursing & Rehabilitation Center,,
335742,Niagara Rehabilitation and Nursing Center,,
335679,Elderwood at Hamburg,,
335481,Newfane Rehab & Health Care Center,,
335376,Schoellkopf Health Center,,
335573,Briody Rehab & Residential Health Care Center,,
335649,North Gate Health Care Facility,,
335790,Elderwood at Wheatfield,,
335607,"Absolut Center for Nursing and Rehabilitation at Eden, LLC",,
335172,Comprehensive Rehabilitation and Nursing Center at Williamsville,,
335164,Humboldt House Rehabilitation and Nursing Center,,
335603,Schofield Residence,,
335433,Mcauley Residence,,
335662,"Autumn View Health Care Facility, LLC",,
335435,Jennie B Richmond Chaffee Nursing Home Company Inc,,
335182,Greenfield Health & Rehab Center,,
335640,Emerald North Nursing and Rehabilitation Center,,
335669,Degraff Memorial Hospital-Skilled Nursing Facility,,
335593,Emerald South Nursing and Rehabilitation Center,,
335176,Rosa Coplon Jewish Home and Infirmary,,
335752,Elderwood at Cheektowaga,,
335577,Elderwood at Lancaster,,
335391,Elderwood at Grand Island,,
335834,Highpointe on Michigan Health Care Facility,,
335468,Beechwood Homes,,
335777,Father Baker Manor,,
335533,"Absolut Center for Nursing and Rehabilitation at Gasport, LLC",,
335308,Mercy Hospital Skilled Nursing Facility,,
335281,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC",,
335180,"Safire Rehabilitation of Northtowns, LLC",,
335056,Elderwood at Amherst,,
335634,Garden Gate Health Care Facility,,
335507,"Absolut Center for Nursing and Rehabilitation at Orchard Park, LLC",,
335326,Elderwood at Williamsville,,
