FACILITY_ID,SURVEY_DATE,DEFICIENCY_CATEGORY,STIP_NUMBER,STIP_DATE,FINE_ASSESSED,STIP_PDF_NAME,facility_name_BN
534,,Multiple Deficiencies,NH-05-005,1/28/05 0:00,12000,pfi0534nh_05_005.pdf,A Holly Patterson Extended Care Facility
431,,Quality of Care,NH-03-055,12/1/03 0:00,7000,pfi0431nh_03_055.pdf,Aaron Manor Rehabilitation and Nursing Center
73,7/17/15 0:00,Multiple Deficiencies,NH-16-160,5/4/16 0:00,4000,pfi0073nh_16_160.pdf,"Absolut Center for Nursing and Rehabilitation at Allegany, LLC"
278,3/10/06 0:00,Multiple Deficiencies,NH-07-019,3/19/07 0:00,7000,pfi0278nh_07_019.pdf,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC"
278,8/25/06 0:00,Quality of Care,NH-07-028,3/19/07 0:00,1000,pfi0278nh_07_028.pdf,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC"
278,9/29/16 0:00,Quality of Care,NH-17-023,2/3/17 0:00,10000,pfi0278nh_17_023.pdf,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC"
278,7/17/15 0:00,Quality of Care,NH-16-154,5/4/16 0:00,10000,pfi0278nh_16_154.pdf,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC"
278,1/30/14 0:00,Multiple Deficiencies,NH-16-014,1/5/16 0:00,4000,pfi0278nh_16_014.pdf,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC"
278,,Quality of Care,NH-03-048,11/4/03 0:00,13000,pfi0278nh_03_048.pdf,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC"
278,9/14/01 0:00,Quality of Care,NH-03-049,11/4/03 0:00,1000,pfi0278nh_03_049.pdf,"Absolut Center for Nursing and Rehabilitation at Aurora Park, LLC"
3909,4/18/14 0:00,Multiple Deficiencies,NH-16-105,2/9/16 0:00,12000,pfi3909nh_16_105.pdf,"Absolut Center for Nursing and Rehabilitation at Dunkirk, LLC"
3909,2/4/15 0:00,Multiple Deficiencies,NH-16-161,5/4/16 0:00,18000,pfi3909nh_16_161.pdf,"Absolut Center for Nursing and Rehabilitation at Dunkirk, LLC"
3910,,Quality of Care,NH-02-027,4/18/02 0:00,4000,pfi3910nh_02_027.pdf,"Absolut Center for Nursing and Rehabilitation at Eden, LLC"
56,11/5/10 0:00,Multiple Deficiencies,NH-13-003,1/29/13 0:00,22000,pfi0056nh_13_003.pdf,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC"
56,12/5/07 0:00,Quality of Care,NH-09-032,7/27/09 0:00,16000,pfi0056nh_09_032.pdf,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC"
56,7/22/09 0:00,Quality of Care,NH-11-022,5/24/11 0:00,2000,pfi0056nh_11_022.pdf,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC"
56,8/15/13 0:00,Quality of Care,NH-16-013,1/4/16 0:00,4000,pfi0056nh_16_013.pdf,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC"
56,11/21/11 0:00,Multiple Deficiencies,NH-13-019,9/11/13 0:00,14000,pfi0056nh_13_019.pdf,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC"
588,12/31/03 0:00,Quality of Care,NH-05-011,2/22/05 0:00,1000,pfi0588nh_05_011.pdf,"Absolut Center for Nursing and Rehabilitation at Gasport, LLC"
651,12/4/15 0:00,Multiple Deficiencies,NH-16-171,5/31/16 0:00,12000,pfi0651nh_16_171.pdf,"Absolut Center for Nursing and Rehabilitation at Houghton, LLC"
284,,Quality of Care,NH-02-025,3/29/02 0:00,6000,pfi0284nh_02_025.pdf,"Absolut Center for Nursing and Rehabilitation at Orchard Park, LLC"
284,7/18/01 0:00,Quality of Care,NH-03-050,11/4/03 0:00,1000,pfi0284nh_03_050.pdf,"Absolut Center for Nursing and Rehabilitation at Orchard Park, LLC"
284,,Quality of Care,NH-03-051,11/4/03 0:00,14000,pfi0284nh_03_051.pdf,"Absolut Center for Nursing and Rehabilitation at Orchard Park, LLC"
284,4/1/05 0:00,Quality of Care,NH-06-025,9/1/06 0:00,1000,pfi0284nh_06_025.pdf,"Absolut Center for Nursing and Rehabilitation at Orchard Park, LLC"
1658,5/18/06 0:00,Quality of Care,NH-07-025,3/19/07 0:00,1000,pfi1658nh_07_025.pdf,"Absolut Center for Nursing and Rehabilitation at Three Rivers, LLC"
941,7/26/13 0:00,Multiple Deficiencies,NH-15-022,9/1/15 0:00,4000,pfi0941nh_15_022.pdf,Acadia Center for Nursing and Rehabilitation
941,9/16/04 0:00,Quality of Care,NH-06-010,4/21/06 0:00,2000,pfi0941nh_06_010.pdf,Acadia Center for Nursing and Rehabilitation
962,,Quality of Care,NH-06-056,1/4/07 0:00,4000,pfi0962nh_06_056.pdf,Achieve Rehab and Nursing Facility
962,4/10/02 0:00,Quality of Care,NH-03-013,3/4/03 0:00,2000,pfi0962nh_03_013.pdf,Achieve Rehab and Nursing Facility
6250,3/25/02 0:00,Quality of Care,NH-06-001,12/29/05 0:00,2000,pfi6250nh_06_001.pdf,Adira at Riverside Rehabilitation and Nursing
1013,10/31/14 0:00,Quality of Care,NH-16-043,1/4/16 0:00,2000,pfi1013nh_16_043.pdf,"Adirondack Tri-County Nursing and Rehabilitation Center, Inc"
1013,,Multiple Deficiencies,NH-12-007,2/6/12 0:00,8000,pfi1013nh_12_007.pdf,"Adirondack Tri-County Nursing and Rehabilitation Center, Inc"
1013,,Multiple Deficiencies,NH-14-006,9/11/14 0:00,2000,pfi1013nh_14_006.pdf,"Adirondack Tri-County Nursing and Rehabilitation Center, Inc"
1013,1/25/01 0:00,Quality of Care,NH-02-019,3/4/02 0:00,4000,pfi1013nh_02_019.pdf,"Adirondack Tri-County Nursing and Rehabilitation Center, Inc"
6460,,Quality of Care,NH-03-052,11/13/03 0:00,10000,pfi6460nh_03_052.pdf,Affinity Skilled Living and Rehabilitation Center
30,5/28/06 0:00,Quality of Care,NH-07-043,5/29/07 0:00,2000,pfi0030nh_07_043.pdf,Albany County Nursing Home
30,2/28/11 0:00,Quality of Care,NH-12-024,4/4/12 0:00,2000,pfi0030nh_12_024.pdf,Albany County Nursing Home
30,,Quality of Care,NH-16-123,4/4/16 0:00,20000,pfi0030nh_16_123.pdf,Albany County Nursing Home
30,4/21/16 0:00,Quality of Care,NH-16-197,9/27/16 0:00,10000,pfi0030nh_16_197.pdf,Albany County Nursing Home
30,12/21/01 0:00,Multiple Deficiencies,NH-03-046,10/17/03 0:00,12000,pfi0030nh_03_046.pdf,Albany County Nursing Home
30,5/9/02 0:00,Multiple Deficiencies,NH-03-047,10/17/03 0:00,4000,pfi0030nh_03_047.pdf,Albany County Nursing Home
