FACILITY_ID,FACILITY_NAME,CERTIFICATION_NUMBER,AREA_OFFICE_ABBREV,FACILITY_ADDRESS_1,FACILITY_ADDRESS_2,FACILITY_CITY,FACILITY_ZIP,COUNTY,PHONE,FACILITY_WEBSITE,OPERATOR,OPERATOR_ADDRESS_1,OPERATOR_ADDRESS_2,OPERATOR_CITY,OPERATOR_STATE,OPERATOR_ZIP,MEDICARE_CERTIFIED,MEDICARE_NUMBER,MEDICAID_CERTIFIED,OWNERSHIP,MULTICAMPUS_FACILITY_ID,NOTES,OCCUPANCY_RATE,OCCUPANCY_REPORT_DATE,OCCUPANCY_EXCEPTION_COMMENT,AVERAGE_OCCUPIED_BEDS,INSP_STANDARD_HEALTH,INSP_LSC,INSP_TOTAL,INSP_HARM,INSP_PERCENT_HARM,COMP_RECEIVED,COMP_RECEIVED_PER_100,COMP_SELF_REPORTED,COMP_ONSITE,COMP_CITATIONS,COMP_CITATIONS_PER_100,COMP_DEF_ADMINISTRATION,COMP_DEF_QUALITY_OF_CARE,COMP_DEF_RESIDENT_RIGHTS,COMP_DEF_DIETARY_SERVICES,COMP_DEF_PHYSICAL_ENVIRONMENT,COMP_DEF_OTHER_SERVICES,COMP_DEF_TOTAL,TOTAL_BEDS,EMPLOYEE_FLU_VACCINATION_RATE,VACCINATION_RATE_REPORT_DATE
17,St. Peter's Nursing And Rehabilitation Center,0101305N,4TROY,301 Hackett Blvd                       ,,Albany                   ,12208,Albany,5185257600,http://www.sphcs.org/StPetersNursingRehabilitationCenter,St. Peter's Hospital,St Elizabeth Motherhouse               ,,Allegany                 ,NY,14706,1,335128,1,Voluntary--Not for Profit Corporation,,,0.919,12/13/17 0:00,,147.18,16,7,23,0,0,43,29.2,0.53,22,10,6.8,2,4,3,1,0,0,10,160,0.62,13-Apr
19,St. Margaret's Center,0101307N,4TROY,27 Hackett Blvd                        ,,Albany                   ,12208,Albany,5185913300,http://www.stmargaretscenter.org/htmlweb/homepage.html,Center for Disability Services Holding Corporation,314 South Manning Boulevard,,Albany,NY,12208,1,335830,1,Voluntary--Not for Profit Corporation,,,0.967,12/13/17 0:00,,90.8,32,4,36,1,0.03,43,47.4,0.28,25,11,12.1,2,5,2,0,0,2,11,92,0.45,13-Apr
21,Hudson Park Rehabilitation and Nursing Center,0101315N,4TROY,325 Northern Boulevard                 ,,Albany                   ,12204,Albany,5184491100,http://www.hudsonparkrehab.com/,"JBRNC, LLC",1 Hillcrest Center Drive,Suite #225,Spring Valley,NY,10977,1,335812,1,Proprietary--LLC,,,0.995,12/6/17 0:00,,192.2,43,16,59,0,0,231,120.2,0.57,67,20,10.4,3,10,6,0,0,1,20,200,0.37,13-Apr
22,Daughters of Sarah Nursing Center,0101312N,4TROY,180 Washington Ave Ext                 ,,Albany                   ,12203,Albany,5184567831,http://www.daughtersofsarah.org/nursingcenter/overview.html,Daughters of Sarah Nursing Home Co Inc,Washington Ave And Rapp Rd             ,,Albany                   ,NY,12203,1,335465,1,Voluntary--Not for Profit Corporation,,,0.967,12/13/17 0:00,,202.35,26,4,30,1,0.03,132,65.2,0.84,37,10,4.9,1,2,6,1,0,0,10,210,0.55,13-Apr
23,Teresian House Nursing Home Co Inc,0101313N,4TROY,200 Washington Ave Ext                 ,,Albany                   ,12203,Albany,5184562000,http://www.teresianhouse.com/,Teresian House Nursing Home Co Inc,Washington Avenue Ext                  ,,Albany                   ,NY,12203,1,335627,1,Voluntary--Not for Profit Corporation,,,0.953,12/6/17 0:00,,292.2,33,9,42,4,0.1,66,22.6,0.7,25,14,4.8,3,4,6,0,1,0,14,300,0.61,13-Apr
27,Bethlehem Commons Care Center,0151300N,4TROY,125 Rockefeller Road                   ,,Delmar                   ,12054,Albany,5186211200,http://www.goodsamvillage.org/,"Good Samaritan Lutheran Health Care Center, Inc",125 Rockefeller Road                   ,,Delmar                   ,NY,12054,1,335735,1,Voluntary--Not for Profit Corporation,,,0.958,12/13/17 0:00,,113.73,48,27,75,4,0.05,100,87.9,0.69,28,8,7,0,6,2,0,0,0,8,120,0.46,13-Apr
30,Albany County Nursing Home,0153302N,4TROY,Albany-Shaker Road                     ,,Albany                   ,12211,Albany,5188692231,http://www.albanycounty.com/Government/Departments/NursingHomeResidentialHealthCareFacilities.aspx,County of Albany,112 State Street                       ,,Albany                   ,NY,12207,1,335425,1,Public--County,,,0.84,12/13/17 0:00,,221.1,66,20,86,3,0.03,83,37.5,0.42,32,27,12.2,3,15,8,0,0,1,27,250,0.67,13-Apr
33,The Grand Rehabilitation and Nursing at Guilderland,0155304N,4TROY,428 State Route 146                        ,,Altamont       ,12009,Albany,5188615141,,"Guilderland Operator, LLC",428 State Route 146,,Altamont,NY,12009,1,335540,1,Proprietary--LLC,,,0.953,11/29/17 0:00,,110.11,91,22,113,5,0.04,162,147.1,0.31,71,55,50,12,25,13,0,1,4,55,127,0.24,13-Apr
38,Cuba Memorial Hospital Inc SNF,0226000N,1BUFF,140 West Main Street                   ,,Cuba                     ,14727,Allegany,5859682000,http://www.cubamemorialhospital.com/longtermcare/,Cuba Memorial Hospital Inc,140 West Main St                       ,,Cuba                     ,NY,14727,1,335364,1,Voluntary--Not for Profit Corporation,,,0.934,12/13/17 0:00,,54.48,55,33,88,2,0.02,21,38.5,0.71,7,2,3.7,0,1,1,0,0,0,2,61,0.73,13-Apr
41,Highland Park Rehabilitation and Nursing Center,0228306N,1BUFF,160 Seneca St                          ,,Wellsville               ,14895,Allegany,5855933750,http://www.highlandparkrehab.com/,"HRNC, LLC",1 Hillcrest Center Drive,Suite 225,Spring Valley,NY,10977,1,335210,1,Proprietary--LLC,,,0.988,11/22/17 0:00,,76,17,11,28,0,0,55,72.4,0.84,13,5,6.6,0,3,2,0,0,0,5,80,0.64,13-Apr
